iter	Passed	Remaining
531	14519	12772
532	14546	12745
533	14573	12717
534	14599	12689
535	14626	12661
536	14651	12632
537	14678	12604
538	14704	12576
539	14730	12548
540	14756	12519
541	14782	12491
542	14814	12468
543	14848	12446
544	14876	12420
545	14903	12392
546	14930	12364
547	14958	12338
548	14987	12312
549	15013	12283
550	15041	12257
551	15069	12230
552	15097	12203
553	15123	12175
554	15149	12146
555	15176	12119
556	15203	12091
557	15230	12064
558	15257	12036
559	15283	12008
560	15310	11980
561	15338	11954
562	15363	11925
563	15390	11897
564	15416	11869
565	15443	11841
566	15471	11814
567	15506	11793
568	15534	11766
569	15561	11739
570	15588	11712
571	15615	11684
572	15644	11658
573	15674	11632
574	15700	11605
575	15727	11577
576	15754	11549
577	15780	11521
578	15806	11493
579	15831	11464
580	15859	11437
581	15885	11409
582	15915	11384
583	15941	11355
584	15968	11328
585	15995	11300
586	16025	11275
587	16055	11249
588	16087	11225
589	16112	11197
590	16139	11169
591	16166	11141
592	16193	11113
593	16219	11086
594	16245	11058
595	16272	11030
596	16299	11002
597	16325	10974
598	16352	10947
599	16379	10919
600	16405	10891
601	16432	10863
602	16459	10836
603	16486	10808
604	16514	10781
605	16541	10754
606	16566	10725
607	16596	10700
608	16623	10672
609	16650	10645
610	16679	10619
611	16706	10591
612	16731	10562
613	16756	10534
614	16783	10507
615	16810	10479
616	16837	10451
617	16863	10423
618	16890	10396
619	16916	10368
620	16942	10340
621	16968	10311
622	16994	10283
623	17021	10256
624	17049	10229
625	17076	10202
626	17104	10175
627	17130	10147
628	17157	10119
629	17183	10091
630	17211	10064
631	17238	10037
632	17265	10010
633	17293	9983
634	17319	9955
635	17346	9927
636	17373	9900
637	17401	9873
638	17428	9845
639	17454	9818
640	17481	9790
641	17509	9763
642	17537	9737
643	17564	9709
644	17593	9683
645	17624	9658
646	17656	9633
647	17686	9607
648	17714	9580
649	17742	9553
650	17771	9527
651	17807	9504
652	17836	9478
653	17868	9453
654	17896	9426
655	17923	9398
656	17951	9372
657	17977	9344
658	18003	9315
659	18029	9288
660	18057	9260
661	18084	9233
662	18110	9205
663	18136	9177
664	18162	9149
665	18189	9121
666	18215	9094
667	18241	9066
668	18269	9039
669	18296	9011
670	18323	8984
671	18349	8956
672	18378	8929
673	18406	8902
674	18432	8874
675	18458	8847
676	18485	8819
677	18510	8791
678	18543	8766
679	18574	8740
680	18601	8713
681	18628	8685
682	18654	8658
683	18681	8630
684	18708	8603
